"Plot_Number","Tag_Num","Species","DBH_cm","Distance","Azimuth","Ht_m"
13,1,"TSHE",49.8,15.4,9,35.0836850358352
13,2,"TSHE",44.2,14.8,51,33.8965855450195
13,3,"TSHE",33.3,12.2,63,30.566601680443
13,4,"PSME",60.7,6.8,118,39.0548539478172
13,5,"PSME",48.3,11.1,139,35.5347178612413
13,6,"TSHE",48.8,16.9,171,34.8904238336823
13,7,"TSHE",49.2,12.3,201,34.9686157731306
13,8,"TSHE",44.4,14.8,232,33.9437636059012
13,9,"TSHE",43.5,11.5,268,33.7283168926251
13,10,"TSHE",57.1,11.2,298,36.2988952685043
13,11,"TSHE",16.8,15.5,291,19.6377212887222
13,12,"TSHE",31.7,15.5,292,29.9113228171339
13,13,"TSHE",23.9,14.1,316,25.7233622869833
13,14,"TSHE",54,12.7,326,35.8211721349906
13,15,"TSHE",50.3,9.7,12,35.1775971987527
13,16,"TSHE",56.7,6.4,68,36.2400756356297
13,17,"TSHE",47.7,10.4,152,34.6690533328308
13,18,"PSME",44.1,9.4,196,34.1643220238045
13,19,"TSHE",55,7.7,254,35.9809202429605
13,20,"TSHE",39.1,6.4,302,32.5454915352898
13,21,"TSHE",8.5,0.6,314,7.85733523120558
13,22,"TSHE",56.2,0,0,36.1654178083046
